,year,mmwr_week,Reporting Area,Meningococcal disease (continued); Other serogroups current week,Meningococcal disease (continued); Other serogroups previous 52 weeks maximum�,Meningococcal disease (continued); Other serogroups cummulative YTD for 2019�,Meningococcal disease (continued); Other serogroups cummulative YTD for 2018�,Meningococcal disease (continued); Unknown serogroup current week,Meningococcal disease (continued); Unknown serogroup previous 52 weeks maximum�,Meningococcal disease (continued); Unknown serogroup cummulative YTD for 2019�,Meningococcal disease (continued); Unknown serogroup cummulative YTD for 2018�,column labels in same order that data fields appears in each record below:
35,2019,5,Minnesota,0,0,0,0,0,0,0,0,
36,2019,5,Missouri,0,0,0,0,0,3,0,2,
37,2019,5,Nebraska,0,0,0,0,0,1,0,0,
38,2019,5,North Dakota,0,0,0,0,0,0,0,0,
39,2019,5,South Dakota,0,0,0,0,0,0,0,0,
40,2019,5,South Atlantic,0,1,0,1,0,3,3,4,
41,2019,5,Delaware,0,0,0,0,0,1,0,0,
42,2019,5,District of Columbia,0,0,0,0,0,0,0,0,
43,2019,5,Florida,0,0,0,0,0,2,1,3,
44,2019,5,Georgia,0,1,0,1,0,1,2,0,
45,2019,5,Maryland,0,1,0,0,0,0,0,0,
46,2019,5,North Carolina,0,0,0,0,0,1,0,1,
47,2019,5,South Carolina,0,0,0,0,0,0,0,0,
48,2019,5,Virginia,0,0,0,0,0,1,0,0,
49,2019,5,West Virginia,0,1,0,0,0,0,0,0,
50,2019,5,East South Central,0,0,0,0,0,2,0,0,
51,2019,5,Alabama,0,0,0,0,0,1,0,0,
52,2019,5,Kentucky,0,0,0,0,0,1,0,0,
53,2019,5,Mississippi,0,0,0,0,0,1,0,0,
54,2019,5,Tennessee,0,0,0,0,0,1,0,0,
55,2019,5,West South Central,0,2,0,1,0,2,0,1,
56,2019,5,Arkansas,0,1,0,0,0,0,0,0,
57,2019,5,Louisiana,0,0,0,0,0,0,0,0,
58,2019,5,Oklahoma,0,1,0,0,0,0,0,0,
59,2019,5,Texas,0,1,0,1,0,2,0,1,
60,2019,5,Mountain,0,1,0,2,1,2,3,2,
61,2019,5,Arizona,0,0,0,0,0,1,1,0,
62,2019,5,Colorado,0,1,0,0,0,1,1,0,
63,2019,5,Idaho,0,1,0,2,0,0,0,0,
