,year,mmwr_week,Reporting Area,"Meningococcal diseases, invasive, all serogroups current week","Meningococcal diseases, invasive, all serogroups previous 52 weeks median ","Meningococcal diseases, invasive, all serogroups previous 52 weeks maximum ","Meningococcal diseases, invasive, all serogroups cummulative for 2006","Meningococcal diseases, invasive, all serogroups cummulative for 2005","Meningococcal diseases, invasive, serogroup unknown current week","Meningococcal diseases, invasive, serogroup unknown previous 52 weeks median ","Meningococcal diseases, invasive, serogroup unknown previous 52 weeks maximum ","Meningococcal diseases, invasive, serogroup unknown cummulative for 2006","Meningococcal diseases, invasive, serogroup unknown cummulative for 2005",Pertussis current week,Pertussis previous 52 weeks median ,Pertussis previous 52 weeks maximum ,Pertussis cummulative for 2006,Pertussis cummulative for 2005
57,2006,3,Va.,0,0,3,0,0,0,0,1,0,0,0,2,72,0,0
58,2006,3,W. Va.,0,0,1,0,0,0,0,1,0,0,0,0,12,0,0
59,2006,3,E.S. CENTRAL,0,1,4,1,4,0,1,4,1,2,0,8,23,2,17
60,2006,3,Ala.,0,0,1,0,0,0,0,1,0,0,0,1,9,2,7
61,2006,3,Ky.,0,0,3,0,2,0,0,3,0,2,0,3,11,0,6
62,2006,3,Miss.,0,0,1,0,0,0,0,1,0,0,0,1,4,0,0
63,2006,3,Tenn.,0,0,2,1,2,0,0,1,1,0,0,4,17,0,4
64,2006,3,W.S. CENTRAL,0,2,6,2,6,0,0,3,2,2,1,36,114,3,4
65,2006,3,Ark.,0,0,3,1,1,0,0,1,1,0,1,5,19,3,1
66,2006,3,La.,0,0,3,1,3,0,0,1,1,1,0,0,3,0,1
67,2006,3,Okla.,0,0,3,0,1,0,0,3,0,0,0,0,0,0,0
68,2006,3,Tex.,0,0,4,0,1,0,0,3,0,1,0,30,99,0,2
69,2006,3,MOUNTAIN,0,2,7,5,4,0,1,5,3,3,2,77,143,89,207
70,2006,3,Ariz.,0,0,5,0,1,0,0,5,0,0,0,15,86,0,7
71,2006,3,Colo.,0,0,3,4,3,0,0,2,2,3,0,24,55,60,127
72,2006,3,Idaho,0,0,2,0,0,0,0,2,0,0,0,3,19,1,12
73,2006,3,Mont.,0,0,0,0,0,0,0,0,0,0,2,9,58,7,30
74,2006,3,Nev.,0,0,2,0,0,0,0,1,0,0,0,0,6,0,0
75,2006,3,N. Mex.,0,0,2,0,0,0,0,2,0,0,0,3,9,0,16
76,2006,3,Utah,0,0,2,1,0,0,0,1,1,0,0,12,35,18,11
77,2006,3,Wyo.,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4
78,2006,3,PACIFIC,6,3,27,12,21,5,3,13,11,11,0,58,171,4,328
79,2006,3,Alaska,0,0,1,0,0,0,0,1,0,0,0,1,11,2,1
80,2006,3,Calif.,5,2,11,11,9,5,2,11,11,9,0,31,146,0,236
81,2006,3,Hawaii,0,0,2,0,2,0,0,1,0,1,0,3,10,1,12
82,2006,3,Oreg.,0,0,6,0,10,0,0,2,0,1,0,10,30,1,76
83,2006,3,Wash.,1,0,25,1,0,0,0,11,0,0,0,12,59,0,3
84,2006,3,Amer. Samoa,U,0,1,0,0,U,0,1,U,U,U,0,0,U,U
85,2006,3,C.N.M.I.,U,0,0,0,0,U,0,0,U,U,U,0,0,U,U
86,2006,3,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2006,3,P.R.,0,0,2,0,1,0,0,2,0,1,0,0,2,0,0
88,2006,3,V.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2006,4,UNITED STATES,12,19,45,63,98,10,12,35,48,51,97,421,595,570,"1,967"
23,2006,4,NEW ENGLAND,2,1,5,5,12,2,1,2,5,5,4,26,49,90,114
24,2006,4,Conn.,2,0,3,2,1,2,0,2,2,0,0,1,4,0,8
25,2006,4,Maine,0,0,1,2,1,0,0,1,2,1,0,0,5,0,6
26,2006,4,Mass.,0,0,3,1,7,0,0,2,1,2,3,19,39,86,91
27,2006,4,N.H.,0,0,2,0,1,0,0,2,0,1,0,1,15,0,0
28,2006,4,R.I.,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0
29,2006,4,Vt.,0,0,1,0,2,0,0,1,0,1,1,1,24,4,9
30,2006,4,MID. ATLANTIC,2,3,13,13,13,2,2,12,12,7,16,23,55,65,158
31,2006,4,N.J.,0,0,4,0,2,0,0,4,0,2,0,4,9,0,21
32,2006,4,N.Y. (Upstate),0,1,5,2,4,0,0,4,1,1,5,10,44,19,40
33,2006,4,N.Y. City,0,0,5,4,2,0,0,5,4,2,0,2,6,0,9
34,2006,4,Pa.,2,1,3,7,5,2,1,3,7,2,11,7,28,46,88
35,2006,4,E.N. CENTRAL,0,2,9,3,8,0,1,6,2,7,21,63,144,76,497
36,2006,4,Ill.,0,0,4,0,1,0,0,4,0,1,0,14,29,1,82
37,2006,4,Ind.,0,0,3,0,1,0,0,2,0,1,0,6,23,0,1
38,2006,4,Mich.,0,0,3,1,3,0,0,3,0,2,2,4,26,5,23
39,2006,4,Ohio,0,1,5,2,2,0,0,4,2,2,19,20,59,70,216
40,2006,4,Wis.,0,0,2,0,1,0,0,2,0,1,0,23,51,0,175
41,2006,4,W.N. CENTRAL,1,1,5,2,6,1,0,3,1,3,22,61,205,90,333
42,2006,4,Iowa,0,0,2,0,1,0,0,2,0,0,0,13,91,4,156
