,year,mmwr_week,Reporting Area,Lyme disease current week,Lyme disease previous 52 weeks median ,Lyme disease previous 52 weeks maximum ,Lyme disease cummulative for 2016,Lyme disease cummulative for 2015,Malaria current week,Malaria previous 52 weeks median ,Malaria previous 52 weeks maximum ,Malaria cummulative for 2016,Malaria cummulative for 2015,"Meningococcal disease, invasive�, All groups current week","Meningococcal disease, invasive�, All groups previous 52 weeks median ","Meningococcal disease, invasive�, All groups previous 52 weeks maximum ","Meningococcal disease, invasive�, All groups cummulative for 2016","Meningococcal disease, invasive�, All groups cummulative for 2015"
44,2016,4,Minn.,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
45,2016,4,Mo.,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
46,2016,4,Nebr.,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0
47,2016,4,N. Dak.,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
48,2016,4,S. Dak.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
49,2016,4,S. ATLANTIC,9,69,235,50,81,0,6,15,11,24,0,1,4,2,11
50,2016,4,Del.,2,7,30,17,7,0,0,1,0,0,0,0,0,0,0
51,2016,4,D.C.,0,1,8,0,6,0,0,1,2,1,0,0,1,0,0
52,2016,4,Fla.,3,3,15,10,4,0,1,3,4,7,0,0,3,1,3
53,2016,4,Ga.,0,0,0,0,0,0,0,8,2,6,0,0,2,1,3
54,2016,4,Md.,2,25,112,12,33,0,2,9,2,1,0,0,1,0,1
55,2016,4,N.C.,0,0,57,0,6,0,0,5,0,1,0,0,1,0,1
56,2016,4,S.C.,0,1,3,2,1,0,0,1,0,1,0,0,2,0,0
57,2016,4,Va.,2,23,95,7,15,0,1,5,1,7,0,0,2,0,3
58,2016,4,W. Va.,0,3,24,2,9,0,0,1,0,0,0,0,1,0,0
59,2016,4,E.S. CENTRAL,1,2,12,3,3,0,0,4,4,2,0,0,2,0,1
60,2016,4,Ala.,1,0,4,2,3,0,0,2,1,2,0,0,1,0,0
61,2016,4,Ky.,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0
62,2016,4,Miss.,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0
63,2016,4,Tenn.,0,0,4,1,0,0,0,1,1,0,0,0,1,0,1
64,2016,4,W.S. CENTRAL,0,1,6,0,0,2,1,9,3,4,0,1,5,3,2
65,2016,4,Ark.,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0
66,2016,4,La.,0,0,0,0,0,0,0,2,0,1,0,0,4,0,0
67,2016,4,Okla.,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
