,year,mmwr_week,Reporting Area,Malaria cummulative for 2003,Malaria cummulative for 2002,Meningococcal Disease cummulative for 2003,Meningococcal Disease cummulative for 2002,Pertussis cummulative for 2003,Pertussis cummulative for 2002,"Rabies, Animal cummulative for 2003","Rabies, Animal cummulative for 2002",Rocky Mountain Spotted Fever cummulative for 2003,Rocky Mountain Spotted Fever cummulative for 2002
41,2003,6,S. Dak.,0,0,0,2,0,1,0,14,0,0
42,2003,6,Nebr.,0,0,0,1,0,2,0,0,0,0
43,2003,6,Kans.,0,2,1,1,4,8,32,14,0,0
44,2003,6,S. ATLANTIC,25,22,30,27,49,31,168,142,20,21
45,2003,6,Del.,0,0,4,1,0,1,0,3,0,0
46,2003,6,Md.,11,9,2,1,11,6,2,43,4,5
47,2003,6,D.C.,0,2,0,0,0,0,0,0,0,0
48,2003,6,Va.,0,0,2,1,1,8,47,39,0,0
49,2003,6,W. Va.,1,0,0,0,0,0,7,11,0,0
50,2003,6,N.C.,4,3,3,3,17,7,54,39,16,16
51,2003,6,S.C.,0,2,0,1,0,8,13,6,0,0
52,2003,6,Ga.,3,6,2,6,14,0,35,0,0,0
53,2003,6,Fla.,6,0,17,14,6,1,10,1,0,0
54,2003,6,E.S. CENTRAL,2,3,9,8,12,21,4,109,1,1
55,2003,6,Ky.,0,0,0,0,2,6,3,1,0,0
56,2003,6,Tenn.,0,1,3,1,3,8,0,108,1,1
57,2003,6,Ala.,2,1,3,6,7,1,1,0,0,0
58,2003,6,Miss.,0,1,3,1,0,6,0,0,0,0
59,2003,6,W.S. CENTRAL,1,1,8,33,0,85,9,99,0,0
60,2003,6,Ark.,0,0,1,5,0,69,0,0,0,0
61,2003,6,La.,1,1,4,2,0,0,0,0,0,0
62,2003,6,Okla.,0,0,3,4,0,2,9,12,0,0
63,2003,6,Tex.,0,0,0,22,0,14,0,87,0,0
64,2003,6,MOUNTAIN,2,4,4,17,93,68,10,13,0,0
65,2003,6,Mont.,0,0,0,0,0,2,1,0,0,0
66,2003,6,Idaho,0,0,0,0,2,5,0,0,0,0
67,2003,6,Wyo.,0,0,0,0,0,2,0,1,0,0
68,2003,6,Colo.,1,2,0,5,40,39,0,0,0,0
69,2003,6,N. Mex.,0,0,1,0,7,10,0,0,0,0
70,2003,6,Ariz.,1,0,3,7,35,4,9,12,0,0
71,2003,6,Utah,0,1,0,0,6,5,0,0,0,0
72,2003,6,Nev.,0,1,0,5,3,1,0,0,0,0
73,2003,6,PACIFIC,8,27,26,40,30,69,7,20,1,0
74,2003,6,Wash.,3,0,2,7,5,4,0,0,0,0
75,2003,6,Oreg.,4,0,7,7,25,11,0,0,0,0
76,2003,6,Calif.,1,24,16,24,0,50,7,8,1,0
