,year,mmwr_week,Reporting Area,"Meningococcal disease, All serogroups cummulative for 2005","Meningococcal disease, All serogroups cummulative for 2004","Meningococcal disease, Serogroup A, C, Y, and W-135 cummulative for 2005","Meningococcal disease, Serogroup A, C, Y, and W-135 cummulative for 2004","Meningococcal disease, Serogroup B cummulative for 2005","Meningococcal disease, Serogroup B cummulative for 2004","Meningococcal disease, Other serogroup cummulative for 2005","Meningococcal disease, Other serogroup cummulative for 2004","Meningococcal disease, Serogroup unknown cummulative for 2005","Meningococcal disease, Serogroup unknown cummulative for 2004"
68,2005,4,Colo.,2,1,0,0,0,0,0,0,2,1
69,2005,4,N. Mex.,0,0,0,0,0,0,0,0,0,0
70,2005,4,Ariz.,1,0,0,0,0,0,0,0,1,0
71,2005,4,Utah,0,0,0,0,0,0,0,0,0,0
72,2005,4,Nev.,0,2,0,0,0,1,0,0,0,1
73,2005,4,PACIFIC,13,43,0,0,0,0,0,0,13,43
74,2005,4,Wash.,0,0,0,0,0,0,0,0,0,0
75,2005,4,Oreg.,5,9,0,0,0,0,0,0,5,9
76,2005,4,Calif.,8,32,0,0,0,0,0,0,8,32
77,2005,4,Alaska,0,0,0,0,0,0,0,0,0,0
78,2005,4,Hawaii,0,2,0,0,0,0,0,0,0,2
79,2005,4,Guam,0,0,0,0,0,0,0,0,0,0
80,2005,4,P.R.,0,0,0,0,0,0,0,0,0,0
81,2005,4,V.I.,0,0,0,0,0,0,0,0,0,0
82,2005,4,Amer. Samoa,0,0,0,0,0,0,0,0,0,0
83,2005,4,C.N.M.I.,0,0,0,0,0,0,0,0,0,0
17,2005,5,UNITED STATES,85,198,10,15,5,6,0,0,70,177
18,2005,5,NEW ENGLAND,11,7,0,0,0,0,0,0,11,7
19,2005,5,Maine,1,2,0,0,0,0,0,0,1,2
20,2005,5,N.H.,1,0,0,0,0,0,0,0,1,0
21,2005,5,Vt.,3,1,0,0,0,0,0,0,3,1
22,2005,5,Mass.,5,4,0,0,0,0,0,0,5,4
23,2005,5,R.I.,0,0,0,0,0,0,0,0,0,0
24,2005,5,Conn.,1,0,0,0,0,0,0,0,1,0
25,2005,5,MID. ATLANTIC,17,27,5,8,2,2,0,0,10,17
26,2005,5,Upstate N.Y.,5,7,0,2,1,0,0,0,4,5
27,2005,5,N.Y. City,1,6,0,0,0,0,0,0,1,6
28,2005,5,N.J.,3,3,0,0,0,0,0,0,3,3
29,2005,5,Pa.,8,11,5,6,1,2,0,0,2,3
30,2005,5,E.N. CENTRAL,6,22,2,5,1,1,0,0,3,16
