,year,mmwr_week,Reporting Area,"Meningococcal disease, Other serogroups; Current week","Meningococcal disease, Other serogroups; Previous 52 weeks Max �","Meningococcal disease, Other serogroups; Cum YTD 2021 �","Meningococcal disease, Other serogroups; Cum YTD 2020 �","Meningococcal disease, Unknown serogroup; Current week","Meningococcal disease, Unknown serogroup; Previous 52 weeks Max �","Meningococcal disease, Unknown serogroup; Cum YTD 2021 �","Meningococcal disease, Unknown serogroup; Cum YTD 2020 �",column labels (in same order that data fields appears in each record below):
69,2021,4,Wyoming,0,0,0,0,0,0,0,0,
70,2021,4,Pacific,0,0,0,0,0,2,0,11,
71,2021,4,Alaska,0,0,0,0,0,0,0,0,
72,2021,4,California,0,0,0,0,0,2,0,8,
73,2021,4,Hawaii,0,0,0,0,0,0,0,0,
74,2021,4,Oregon,0,0,0,0,0,0,0,0,
75,2021,4,Washington,0,0,0,0,0,2,0,3,
76,2021,4,U.S. Territories,0,0,0,0,0,0,0,0,
77,2021,4,American Samoa,0,0,0,0,0,0,0,0,
78,2021,4,Commonwealth of Northern Mariana Islands,0,0,0,0,0,0,0,0,
79,2021,4,Guam,0,0,0,0,0,0,0,0,
80,2021,4,Puerto Rico,0,0,0,0,0,0,0,0,
81,2021,4,U.S. Virgin Islands,0,0,0,0,0,0,0,0,
82,2021,4,Non-U.S. Residents,0,0,0,0,0,0,0,0,
83,2021,4,Total,0,2,0,4,5,8,6,23,
14,2021,5,"U.S. Residents, excluding U.S. Territories",0,2,1,5,2,8,6,25,
15,2021,5,New England,0,0,0,0,0,1,0,0,
16,2021,5,Connecticut,0,0,0,0,0,0,0,0,
17,2021,5,Maine,0,0,0,0,0,0,0,0,
18,2021,5,Massachusetts,0,0,0,0,0,1,0,0,
19,2021,5,New Hampshire,0,0,0,0,0,0,0,0,
20,2021,5,Rhode Island,0,0,0,0,0,0,0,0,
21,2021,5,Vermont,0,0,0,0,0,0,0,0,
22,2021,5,Middle Atlantic,0,0,0,0,1,3,3,3,
23,2021,5,New Jersey,0,0,0,0,0,0,0,0,
24,2021,5,New York (excluding New York City),0,0,0,0,0,2,0,0,
25,2021,5,New York City,0,0,0,0,1,1,1,0,
26,2021,5,Pennsylvania,0,0,0,0,0,2,2,3,
27,2021,5,East North Central,0,1,1,3,0,1,0,0,
28,2021,5,Illinois,0,0,0,2,0,1,0,0,
29,2021,5,Indiana,0,1,0,0,0,1,0,0,
30,2021,5,Michigan,0,0,0,0,0,1,0,0,
31,2021,5,Ohio,0,1,1,1,0,1,0,0,
32,2021,5,Wisconsin,0,0,0,0,0,0,0,0,
33,2021,5,West North Central,0,0,0,0,0,2,1,3,
34,2021,5,Iowa,0,0,0,0,0,1,0,0,
35,2021,5,Kansas,0,0,0,0,0,1,0,0,
36,2021,5,Minnesota,0,0,0,0,0,1,0,0,
37,2021,5,Missouri,0,0,0,0,0,2,1,3,
38,2021,5,Nebraska,0,0,0,0,0,0,0,0,
39,2021,5,North Dakota,0,0,0,0,0,0,0,0,
40,2021,5,South Dakota,0,0,0,0,0,0,0,0,
41,2021,5,South Atlantic,0,1,0,0,0,6,1,7,
42,2021,5,Delaware,0,0,0,0,0,1,0,0,
43,2021,5,District of Columbia,0,0,0,0,0,0,0,0,
44,2021,5,Florida,0,0,0,0,0,4,1,4,
45,2021,5,Georgia,0,1,0,0,0,1,0,0,
46,2021,5,Maryland,0,0,0,0,0,2,0,1,
47,2021,5,North Carolina,0,0,0,0,0,1,0,0,
48,2021,5,South Carolina,0,0,0,0,0,0,0,0,
49,2021,5,Virginia,0,0,0,0,0,1,0,2,
50,2021,5,West Virginia,0,0,0,0,0,0,0,0,
51,2021,5,East South Central,0,1,0,0,0,1,0,0,
52,2021,5,Alabama,0,1,0,0,0,1,0,0,
53,2021,5,Kentucky,0,0,0,0,0,1,0,0,
54,2021,5,Mississippi,0,0,0,0,0,0,0,0,
55,2021,5,Tennessee,0,0,0,0,0,0,0,0,
56,2021,5,West South Central,0,2,0,2,0,2,0,1,
57,2021,5,Arkansas,0,0,0,0,0,2,0,0,
58,2021,5,Louisiana,0,0,0,0,0,1,0,0,
59,2021,5,Oklahoma,0,0,0,2,0,0,0,0,
60,2021,5,Texas,0,2,0,0,0,2,0,1,
61,2021,5,Mountain,0,1,0,0,1,2,1,0,
62,2021,5,Arizona,0,0,0,0,0,0,0,0,
63,2021,5,Colorado,0,0,0,0,0,2,0,0,
64,2021,5,Idaho,0,0,0,0,0,0,0,0,
65,2021,5,Montana,0,0,0,0,0,0,0,0,
66,2021,5,Nevada,0,1,0,0,0,0,0,0,
67,2021,5,New Mexico,0,0,0,0,0,0,0,0,
68,2021,5,Utah,0,0,0,0,0,0,0,0,
69,2021,5,Wyoming,0,0,0,0,1,0,1,0,
70,2021,5,Pacific,0,0,0,0,0,2,0,11,
71,2021,5,Alaska,0,0,0,0,0,0,0,0,
72,2021,5,California,0,0,0,0,0,2,0,8,
73,2021,5,Hawaii,0,0,0,0,0,0,0,0,
74,2021,5,Oregon,0,0,0,0,0,0,0,0,
75,2021,5,Washington,0,0,0,0,0,2,0,3,
76,2021,5,U.S. Territories,0,0,0,0,0,0,0,0,
77,2021,5,American Samoa,0,0,0,0,0,0,0,0,
78,2021,5,Commonwealth of Northern Mariana Islands,0,0,0,0,0,0,0,0,
79,2021,5,Guam,0,0,0,0,0,0,0,0,
80,2021,5,Puerto Rico,0,0,0,0,0,0,0,0,
81,2021,5,U.S. Virgin Islands,0,0,0,0,0,0,0,0,
82,2021,5,Non-U.S. Residents,0,0,0,0,0,0,0,0,
83,2021,5,Total,0,2,1,5,2,8,6,25,
14,2021,6,"U.S. Residents, excluding U.S. Territories",0,2,1,6,1,8,8,28,
15,2021,6,New England,0,0,0,0,0,1,0,0,
16,2021,6,Connecticut,0,0,0,0,0,0,0,0,
17,2021,6,Maine,0,0,0,0,0,0,0,0,
18,2021,6,Massachusetts,0,0,0,0,0,1,0,0,
19,2021,6,New Hampshire,0,0,0,0,0,0,0,0,
20,2021,6,Rhode Island,0,0,0,0,0,0,0,0,
21,2021,6,Vermont,0,0,0,0,0,0,0,0,
22,2021,6,Middle Atlantic,0,0,0,0,0,3,3,4,
23,2021,6,New Jersey,0,0,0,0,0,0,0,0,
24,2021,6,New York (excluding New York City),0,0,0,0,0,2,0,0,
25,2021,6,New York City,0,0,0,0,0,1,1,0,
26,2021,6,Pennsylvania,0,0,0,0,0,2,2,4,
27,2021,6,East North Central,0,1,1,3,0,1,0,0,
28,2021,6,Illinois,0,0,0,2,0,1,0,0,
29,2021,6,Indiana,0,1,0,0,0,1,0,0,
30,2021,6,Michigan,0,0,0,0,0,1,0,0,
31,2021,6,Ohio,0,1,1,1,0,1,0,0,
32,2021,6,Wisconsin,0,0,0,0,0,0,0,0,
33,2021,6,West North Central,0,0,0,0,0,2,1,3,
34,2021,6,Iowa,0,0,0,0,0,1,0,0,
35,2021,6,Kansas,0,0,0,0,0,1,0,0,
36,2021,6,Minnesota,0,0,0,0,0,1,0,0,
37,2021,6,Missouri,0,0,0,0,0,2,1,3,
38,2021,6,Nebraska,0,0,0,0,0,0,0,0,
39,2021,6,North Dakota,0,0,0,0,0,0,0,0,
40,2021,6,South Dakota,0,0,0,0,0,0,0,0,
41,2021,6,South Atlantic,0,1,0,0,0,6,1,7,
42,2021,6,Delaware,0,0,0,0,0,1,0,0,
43,2021,6,District of Columbia,0,0,0,0,0,0,0,0,
44,2021,6,Florida,0,0,0,0,0,4,1,4,
45,2021,6,Georgia,0,1,0,0,0,1,0,0,
46,2021,6,Maryland,0,0,0,0,0,2,0,1,
47,2021,6,North Carolina,0,0,0,0,0,1,0,0,
48,2021,6,South Carolina,0,0,0,0,0,0,0,0,
49,2021,6,Virginia,0,0,0,0,0,1,0,2,
50,2021,6,West Virginia,0,0,0,0,0,0,0,0,
51,2021,6,East South Central,0,1,0,0,0,1,0,0,
52,2021,6,Alabama,0,1,0,0,0,1,0,0,
53,2021,6,Kentucky,0,0,0,0,0,1,0,0,
54,2021,6,Mississippi,0,0,0,0,0,0,0,0,
55,2021,6,Tennessee,0,0,0,0,0,0,0,0,
56,2021,6,West South Central,0,2,0,2,0,2,0,1,
57,2021,6,Arkansas,0,0,0,0,0,2,0,0,
58,2021,6,Louisiana,0,0,0,0,0,1,0,0,
59,2021,6,Oklahoma,0,0,0,2,0,0,0,0,
60,2021,6,Texas,0,2,0,0,0,2,0,1,
61,2021,6,Mountain,0,0,0,1,0,2,2,0,
62,2021,6,Arizona,0,0,0,0,0,1,1,0,
63,2021,6,Colorado,0,0,0,0,0,2,0,0,
64,2021,6,Idaho,0,0,0,0,0,0,0,0,
