,model_name,weigth,date_forecast,forecast_window
3,eakf_model3,0.999999984233693,2008-09-30,5m
4,sarima,0.0,2008-09-30,5m
0,arima,0.0,2008-09-30,6m
1,eakf_model1,1.9715192304382252e-08,2008-09-30,6m
2,eakf_model2,1.53e-322,2008-09-30,6m
3,eakf_model3,0.9999999802848076,2008-09-30,6m
4,sarima,0.0,2008-09-30,6m
0,arima,8e-323,2008-10-31,1m
1,eakf_model1,0.9999999992117862,2008-10-31,1m
2,eakf_model2,6.573893841450768e-26,2008-10-31,1m
3,eakf_model3,7.882137780286677e-10,2008-10-31,1m
4,sarima,5.048236797358328e-301,2008-10-31,1m
0,arima,2.3571037827163783e-189,2008-10-31,2m
1,eakf_model1,0.9999999998435792,2008-10-31,2m
2,eakf_model2,8.549443809214584e-23,2008-10-31,2m
3,eakf_model3,1.5642053415155288e-10,2008-10-31,2m
4,sarima,5.637922445833881e-163,2008-10-31,2m
0,arima,1.2340001369374536e-226,2008-10-31,3m
1,eakf_model1,0.9999999998221112,2008-10-31,3m
2,eakf_model2,9.383591083197156e-33,2008-10-31,3m
3,eakf_model3,1.7788864533347404e-10,2008-10-31,3m
4,sarima,1.4615308908440511e-204,2008-10-31,3m
0,arima,6.5531e-319,2008-10-31,4m
1,eakf_model1,0.9999999996778915,2008-10-31,4m
2,eakf_model2,1.4298234602661874e-56,2008-10-31,4m
3,eakf_model3,3.2210863861717955e-10,2008-10-31,4m
4,sarima,1.859362494847893e-288,2008-10-31,4m
0,arima,0.0,2008-10-31,5m
