,model_name,weigth,date_forecast,forecast_window,past_months
3,eakf_model3,7.46998433044594e-10,2008-04-30,3m,2
0,arima,1.9643653858700339e-25,2008-04-30,4m,2
1,eakf_model1,2.29949617065008e-10,2008-04-30,4m,2
2,eakf_model2,4.871322331412646e-29,2008-04-30,4m,2
3,eakf_model3,0.9999999997700504,2008-04-30,4m,2
0,arima,1.0709020385268076e-129,2008-04-30,5m,2
1,eakf_model1,5.244117712382304e-10,2008-04-30,5m,2
2,eakf_model2,0.9999999994755884,2008-04-30,5m,2
3,eakf_model3,1.150025231397757e-40,2008-04-30,5m,2
0,arima,6.316857021590144e-41,2008-04-30,6m,2
1,eakf_model1,2.033279954162418e-11,2008-04-30,6m,2
2,eakf_model2,0.9999999999796672,2008-04-30,6m,2
3,eakf_model3,6.392319673442572e-30,2008-04-30,6m,2
0,arima,1.7131589583287975e-83,2008-05-31,1m,2
1,eakf_model1,0.99999999999847,2008-05-31,1m,2
2,eakf_model2,2.965906916450571e-23,2008-05-31,1m,2
3,eakf_model3,1.5300758471180257e-12,2008-05-31,1m,2
0,arima,8.789058931075536e-158,2008-05-31,2m,2
1,eakf_model1,0.9999999999782314,2008-05-31,2m,2
2,eakf_model2,3.4061143585664284e-52,2008-05-31,2m,2
3,eakf_model3,2.176851862578837e-11,2008-05-31,2m,2
0,arima,1.34108547e-316,2008-05-31,3m,2
1,eakf_model1,0.9999999999004328,2008-05-31,3m,2
2,eakf_model2,2.231005452646453e-62,2008-05-31,3m,2
3,eakf_model3,9.956716421888912e-11,2008-05-31,3m,2
0,arima,1.9717145381749327e-175,2008-05-31,4m,2
1,eakf_model1,0.99999999985527,2008-05-31,4m,2
2,eakf_model2,3.6714050774022527e-48,2008-05-31,4m,2
3,eakf_model3,1.447301402560645e-10,2008-05-31,4m,2
0,arima,4.76255653894276e-51,2008-05-31,5m,2
1,eakf_model1,2.7918856918609976e-10,2008-05-31,5m,2
2,eakf_model2,1.3310607888317869e-37,2008-05-31,5m,2
3,eakf_model3,0.9999999997208114,2008-05-31,5m,2
0,arima,2e-323,2008-05-31,6m,2
1,eakf_model1,9.770382247420086e-08,2008-05-31,6m,2
2,eakf_model2,0.9999999022961776,2008-05-31,6m,2
3,eakf_model3,6.4e-323,2008-05-31,6m,2
0,arima,2.359178440451976e-81,2008-06-30,1m,2
1,eakf_model1,0.9999999999922452,2008-06-30,1m,2
2,eakf_model2,3.7060656568885724e-28,2008-06-30,1m,2
3,eakf_model3,7.754697166395456e-12,2008-06-30,1m,2
0,arima,1.627312327520453e-74,2008-06-30,2m,2
1,eakf_model1,0.999999999997308,2008-06-30,2m,2
2,eakf_model2,8.678850846169815e-27,2008-06-30,2m,2
3,eakf_model3,2.6921752802235644e-12,2008-06-30,2m,2
0,arima,2.768688617284667e-185,2008-06-30,3m,2
1,eakf_model1,0.9999999999675062,2008-06-30,3m,2
2,eakf_model2,8.758240053321965e-59,2008-06-30,3m,2
3,eakf_model3,3.2493841286337316e-11,2008-06-30,3m,2
