,model_name,weigth,date_forecast,forecast_window
1,eakf_model1,1.4446528419043738e-10,2008-10-31,5m
2,eakf_model2,1.0494742746776224e-85,2008-10-31,5m
3,eakf_model3,0.9999999998555348,2008-10-31,5m
0,arima,0.0,2008-10-31,6m
1,eakf_model1,0.2241435312516582,2008-10-31,6m
2,eakf_model2,8.4e-323,2008-10-31,6m
3,eakf_model3,0.7758564687483417,2008-10-31,6m
0,arima,0.0,2008-11-30,1m
1,eakf_model1,4.474592403210579e-09,2008-11-30,1m
2,eakf_model2,5.634423044883978e-270,2008-11-30,1m
3,eakf_model3,0.9999999955254076,2008-11-30,1m
0,arima,0.0,2008-11-30,2m
1,eakf_model1,3.667118572881229e-10,2008-11-30,2m
2,eakf_model2,5.926661540291988e-115,2008-11-30,2m
3,eakf_model3,0.9999999996332886,2008-11-30,2m
0,arima,0.0,2008-11-30,3m
1,eakf_model1,1.133584026165016e-09,2008-11-30,3m
2,eakf_model2,6.2020284031471555e-170,2008-11-30,3m
3,eakf_model3,0.9999999988664156,2008-11-30,3m
0,arima,0.0,2008-11-30,4m
1,eakf_model1,2.11721023566697e-10,2008-11-30,4m
2,eakf_model2,1.4871468434157717e-103,2008-11-30,4m
3,eakf_model3,0.9999999997882788,2008-11-30,4m
0,arima,6.27e-322,2008-11-30,5m
1,eakf_model1,1.420504762895173e-10,2008-11-30,5m
2,eakf_model2,9.790556856349797e-84,2008-11-30,5m
3,eakf_model3,0.9999999998579494,2008-11-30,5m
0,arima,0.0,2008-11-30,6m
1,eakf_model1,0.8641333480526688,2008-11-30,6m
2,eakf_model2,9e-323,2008-11-30,6m
3,eakf_model3,0.135866651947331,2008-11-30,6m
0,arima,0.0,2008-12-31,1m
1,eakf_model1,0.0420746503745212,2008-12-31,1m
2,eakf_model2,1.14e-322,2008-12-31,1m
3,eakf_model3,0.9579253496254788,2008-12-31,1m
0,arima,0.0,2008-12-31,2m
1,eakf_model1,1.0951510836319794e-09,2008-12-31,2m
2,eakf_model2,4.7084835699885405e-175,2008-12-31,2m
3,eakf_model3,0.9999999989048488,2008-12-31,2m
0,arima,0.0,2008-12-31,3m
1,eakf_model1,2.349708460456997e-09,2008-12-31,3m
2,eakf_model2,3.199079699541367e-211,2008-12-31,3m
3,eakf_model3,0.9999999976502916,2008-12-31,3m
0,arima,0.0,2008-12-31,4m
1,eakf_model1,8.462998868016591e-10,2008-12-31,4m
2,eakf_model2,1.9005656864725966e-174,2008-12-31,4m
3,eakf_model3,0.9999999991537,2008-12-31,4m
0,arima,0.0,2008-12-31,5m
1,eakf_model1,1.2825771024355903e-10,2008-12-31,5m
2,eakf_model2,2.670975340953453e-75,2008-12-31,5m
3,eakf_model3,0.9999999998717424,2008-12-31,5m
0,arima,0.0,2008-12-31,6m
1,eakf_model1,0.9999999830717023,2008-12-31,6m
2,eakf_model2,9.4e-323,2008-12-31,6m
3,eakf_model3,1.6928297474061752e-08,2008-12-31,6m
0,arima,0.0,2009-01-31,1m
1,eakf_model1,9.365416989200929e-08,2009-01-31,1m
2,eakf_model2,1.2e-322,2009-01-31,1m
3,eakf_model3,0.9999999063458298,2009-01-31,1m
0,arima,0.0,2009-01-31,2m
1,eakf_model1,2.5921827604961383e-09,2009-01-31,2m
2,eakf_model2,4.835639737893132e-240,2009-01-31,2m
3,eakf_model3,0.9999999974078172,2009-01-31,2m
0,arima,0.0,2009-01-31,3m
1,eakf_model1,6.565317777152503e-08,2009-01-31,3m
2,eakf_model2,1.14e-322,2009-01-31,3m
3,eakf_model3,0.9999999343468224,2009-01-31,3m
0,arima,0.0,2009-01-31,4m
1,eakf_model1,1.990971169863107e-09,2009-01-31,4m
2,eakf_model2,2.9600157342531568e-229,2009-01-31,4m
3,eakf_model3,0.9999999980090292,2009-01-31,4m
0,arima,0.0,2009-01-31,5m
1,eakf_model1,3.0096106623308047e-10,2009-01-31,5m
2,eakf_model2,5.58333985724384e-99,2009-01-31,5m
3,eakf_model3,0.9999999996990384,2009-01-31,5m
0,arima,0.0,2009-01-31,6m
1,eakf_model1,0.828027543900727,2009-01-31,6m
2,eakf_model2,1e-322,2009-01-31,6m
3,eakf_model3,0.1719724560992728,2009-01-31,6m
0,arima,0.0,2009-02-28,1m
1,eakf_model1,0.611993198013385,2009-02-28,1m
2,eakf_model2,1.5476705131095557e-72,2009-02-28,1m
3,eakf_model3,0.388006801986615,2009-02-28,1m
0,arima,0.0,2009-02-28,2m
1,eakf_model1,1.2526932936724338e-06,2009-02-28,2m
2,eakf_model2,1.2e-322,2009-02-28,2m
3,eakf_model3,0.9999987473067063,2009-02-28,2m
0,arima,0.0,2009-02-28,3m
1,eakf_model1,0.1397805519322869,2009-02-28,3m
2,eakf_model2,1.2e-322,2009-02-28,3m
3,eakf_model3,0.8602194480677131,2009-02-28,3m
0,arima,0.0,2009-02-28,4m
1,eakf_model1,0.0994705558633289,2009-02-28,4m
2,eakf_model2,1.14e-322,2009-02-28,4m
3,eakf_model3,0.9005294441366711,2009-02-28,4m
0,arima,0.0,2009-02-28,5m
1,eakf_model1,5.360593226546281e-10,2009-02-28,5m
2,eakf_model2,8.393133117010831e-117,2009-02-28,5m
