eval_horizon,mae,error,wis,type,frsct_date,method
5m,4.897471058990996,-1.2753195475396542,12.586720713658254,imd_incidence,2015-01-31,sarima
6m,4.389942490688056,-0.7540496814208199,11.808711092890201,imd_incidence,2015-01-31,sarima
1m,12.622257128752402,-12.622257128752402,21.04920912377388,imd_incidence,2015-02-28,arima
2m,8.40595237644027,-8.40595237644027,16.198000345871638,imd_incidence,2015-02-28,arima
3m,5.874085709584134,-5.333850792336226,14.108967780120729,imd_incidence,2015-02-28,arima
4m,5.358152376156066,-3.0478000002842043,13.458398374356094,imd_incidence,2015-02-28,arima
5m,5.248592376099225,-1.4761695250529911,13.278327327072702,imd_incidence,2015-02-28,arima
6m,5.342219042727997,-0.26174920823218234,13.36935850849854,imd_incidence,2015-02-28,arima
1m,11.603333333333332,-12.0,20.872118902439027,imd_incidence,2015-02-28,eakf_model1
2m,7.518333333333333,-8.0,13.876295731707316,imd_incidence,2015-02-28,eakf_model1
3m,5.612222222222222,-4.666666666666667,10.974578252032519,imd_incidence,2015-02-28,eakf_model1
4m,5.422499999999999,-2.5,10.322991615853658,imd_incidence,2015-02-28,eakf_model1
5m,5.555999999999999,-0.8,10.358097560975612,imd_incidence,2015-02-28,eakf_model1
6m,5.783888888888889,0.5,10.653485772357724,imd_incidence,2015-02-28,eakf_model1
1m,13.013333333333334,-13.0,23.924390243902444,imd_incidence,2015-02-28,eakf_model2
2m,9.176666666666666,-9.5,16.632461890243903,imd_incidence,2015-02-28,eakf_model2
3m,6.286666666666666,-6.333333333333333,12.53623475609756,imd_incidence,2015-02-28,eakf_model2
4m,5.699999999999999,-3.75,11.22594131097561,imd_incidence,2015-02-28,eakf_model2
5m,5.583999999999999,-2.0,10.775384146341464,imd_incidence,2015-02-28,eakf_model2
6m,5.723333333333333,-0.5,10.838465447154473,imd_incidence,2015-02-28,eakf_model2
1m,11.603333333333332,-11.0,21.049070121951225,imd_incidence,2015-02-28,eakf_model3
2m,7.459999999999999,-7.5,13.951234756097561,imd_incidence,2015-02-28,eakf_model3
3m,5.52,-4.666666666666667,10.853694105691055,imd_incidence,2015-02-28,eakf_model3
4m,5.262499999999999,-2.5,10.132587652439025,imd_incidence,2015-02-28,eakf_model3
5m,5.097999999999999,-1.2,9.685445121951222,imd_incidence,2015-02-28,eakf_model3
6m,5.043888888888888,-0.16666666666666666,9.452342479674796,imd_incidence,2015-02-28,eakf_model3
1m,11.864202647699368,-11.864202647699368,19.969419308899834,imd_incidence,2015-02-28,sarima
2m,8.312644257175958,-8.312644257175958,15.476762805358332,imd_incidence,2015-02-28,sarima
3m,5.5532792450816615,-5.530246431152949,13.23169241714037,imd_incidence,2015-02-28,sarima
4m,5.070003490815038,-3.2426407663609194,12.595930932588919,imd_incidence,2015-02-28,sarima
5m,4.346271965401444,-2.3038434403393224,11.558691674031714,imd_incidence,2015-02-28,sarima
6m,4.425154461306801,-1.116608376810504,11.573610898120402,imd_incidence,2015-02-28,sarima
1m,1.359069856556797,-1.359069856556797,11.447432338929753,imd_incidence,2015-03-31,arima
2m,1.7285524882890755,0.3694826317322786,11.281177756549095,imd_incidence,2015-03-31,arima
3m,2.8517133655331683,1.9456667944953037,11.987343088195738,imd_incidence,2015-03-31,arima
4m,3.6632938041552148,2.9837588758768163,12.650159047049312,imd_incidence,2015-03-31,arima
5m,4.350242067328443,3.8066141247057237,13.33289258907994,imd_incidence,2015-03-31,arima
6m,4.474874242777261,4.021850957258329,13.381586591858625,imd_incidence,2015-03-31,arima
1m,3.1366666666666685,-3.5,6.686341463414635,imd_incidence,2015-03-31,eakf_model1
2m,2.6916666666666673,-0.75,6.266623475609756,imd_incidence,2015-03-31,eakf_model1
3m,3.5255555555555556,1.1666666666666667,7.185955284552847,imd_incidence,2015-03-31,eakf_model1
4m,4.244166666666667,2.375,8.172667682926827,imd_incidence,2015-03-31,eakf_model1
5m,4.818666666666667,3.3,8.98720426829268,imd_incidence,2015-03-31,eakf_model1
