,model_name,weigth,date_forecast,forecast_window,past_months
4,sarima,0.0,2008-06-30,3m,2
0,arima,3.141243465804521e-79,2008-06-30,4m,2
1,eakf_model1,0.9999999999912356,2008-06-30,4m,2
2,eakf_model2,4.0183003469421183e-16,2008-06-30,4m,2
3,eakf_model3,8.763980759500269e-12,2008-06-30,4m,2
4,sarima,9.479632893579013e-84,2008-06-30,4m,2
0,arima,5.053027227279315e-47,2008-06-30,5m,2
1,eakf_model1,0.999999999987256,2008-06-30,5m,2
2,eakf_model2,9.110454163024081e-14,2008-06-30,5m,2
3,eakf_model3,1.2652899937180114e-11,2008-06-30,5m,2
4,sarima,2.691796694791495e-46,2008-06-30,5m,2
0,arima,4.66235040187427e-51,2008-06-30,6m,2
1,eakf_model1,0.999999999721823,2008-06-30,6m,2
2,eakf_model2,8.348067912066267e-29,2008-06-30,6m,2
3,eakf_model3,2.7817698430967417e-10,2008-06-30,6m,2
4,sarima,6.600741331629002e-73,2008-06-30,6m,2
0,arima,2.82168257343e-313,2008-07-31,1m,2
1,eakf_model1,0.9999999999036914,2008-07-31,1m,2
2,eakf_model2,9.630861351766403e-11,2008-07-31,1m,2
3,eakf_model3,8.146216139477994e-24,2008-07-31,1m,2
4,sarima,0.0,2008-07-31,1m,2
0,arima,2.8701868759931824e-63,2008-07-31,2m,2
1,eakf_model1,0.999999999995108,2008-07-31,2m,2
2,eakf_model2,4.786674386884872e-12,2008-07-31,2m,2
3,eakf_model3,1.0530979315789736e-13,2008-07-31,2m,2
4,sarima,6.609545617180278e-94,2008-07-31,2m,2
0,arima,1.3183823174198786e-69,2008-07-31,3m,2
1,eakf_model1,0.9999999999945186,2008-07-31,3m,2
2,eakf_model2,1.448329398079351e-30,2008-07-31,3m,2
3,eakf_model3,5.481315706953625e-12,2008-07-31,3m,2
4,sarima,5.681165923624304e-134,2008-07-31,3m,2
0,arima,2e-323,2008-07-31,4m,2
1,eakf_model1,0.999999999691002,2008-07-31,4m,2
2,eakf_model2,3.812857638605819e-135,2008-07-31,4m,2
3,eakf_model3,3.0899790038719277e-10,2008-07-31,4m,2
4,sarima,0.0,2008-07-31,4m,2
0,arima,1.2849055058714663e-74,2008-07-31,5m,2
1,eakf_model1,0.9999999999940676,2008-07-31,5m,2
2,eakf_model2,3.8910634137150386e-14,2008-07-31,5m,2
3,eakf_model3,5.89337338782018e-12,2008-07-31,5m,2
4,sarima,8.821090458269771e-78,2008-07-31,5m,2
0,arima,2.6488287074229234e-40,2008-07-31,6m,2
1,eakf_model1,0.9999999999923852,2008-07-31,6m,2
2,eakf_model2,6.503205251485097e-12,2008-07-31,6m,2
3,eakf_model3,1.111522856579207e-12,2008-07-31,6m,2
4,sarima,3.5252796576968603e-47,2008-07-31,6m,2
0,arima,0.0,2008-08-31,1m,2
1,eakf_model1,0.9999999999735965,2008-08-31,1m,2
2,eakf_model2,9.10697941418014e-12,2008-08-31,1m,2
3,eakf_model3,1.7296496428364593e-11,2008-08-31,1m,2
4,sarima,0.0,2008-08-31,1m,2
0,arima,0.0,2008-08-31,2m,2
1,eakf_model1,0.9999999902080552,2008-08-31,2m,2
2,eakf_model2,9.791944809451883e-09,2008-08-31,2m,2
3,eakf_model3,2.502600078320494e-136,2008-08-31,2m,2
4,sarima,0.0,2008-08-31,2m,2
0,arima,1.3473437577321647e-90,2008-08-31,3m,2
1,eakf_model1,0.999999999995312,2008-08-31,3m,2
2,eakf_model2,1.7753149154864405e-12,2008-08-31,3m,2
3,eakf_model3,2.912734540592821e-12,2008-08-31,3m,2
4,sarima,2.411706210283783e-126,2008-08-31,3m,2
0,arima,1.2858780289683085e-102,2008-08-31,4m,2
1,eakf_model1,0.9999999999922884,2008-08-31,4m,2
2,eakf_model2,1.7201053045324222e-32,2008-08-31,4m,2
3,eakf_model3,7.711596051376272e-12,2008-08-31,4m,2
4,sarima,5.963134205015261e-182,2008-08-31,4m,2
0,arima,2e-323,2008-08-31,5m,2
1,eakf_model1,0.9999999997962494,2008-08-31,5m,2
2,eakf_model2,2.2668096368166805e-102,2008-08-31,5m,2
3,eakf_model3,2.0375065465023344e-10,2008-08-31,5m,2
4,sarima,0.0,2008-08-31,5m,2
0,arima,3.005394932599571e-73,2008-08-31,6m,2
1,eakf_model1,0.9999999999958576,2008-08-31,6m,2
2,eakf_model2,1.8647631564963688e-12,2008-08-31,6m,2
3,eakf_model3,2.277748032349569e-12,2008-08-31,6m,2
4,sarima,1.3090280171369872e-79,2008-08-31,6m,2
0,arima,0.0,2008-09-30,1m,2
1,eakf_model1,0.9999999998758002,2008-09-30,1m,2
2,eakf_model2,4.714667217852376e-13,2008-09-30,1m,2
3,eakf_model3,1.2372831356936428e-10,2008-09-30,1m,2
4,sarima,0.0,2008-09-30,1m,2
0,arima,0.0,2008-09-30,2m,2
1,eakf_model1,0.9999999998019437,2008-09-30,2m,2
2,eakf_model2,1.9805644885713931e-10,2008-09-30,2m,2
3,eakf_model3,1.4730035110136598e-22,2008-09-30,2m,2
4,sarima,0.0,2008-09-30,2m,2
0,arima,0.0,2008-09-30,3m,2
1,eakf_model1,0.9999999995719068,2008-09-30,3m,2
2,eakf_model2,4.280930139117273e-10,2008-09-30,3m,2
3,eakf_model3,1.651444701213497e-25,2008-09-30,3m,2
4,sarima,0.0,2008-09-30,3m,2
0,arima,1.0536454924942483e-132,2008-09-30,4m,2
1,eakf_model1,0.9999999999928028,2008-09-30,4m,2
