,year,mmwr_week,Reporting Area,"Meningococcal diseases, invasive �, All groups current week","Meningococcal diseases, invasive �, All groups previous 52 weeks median ","Meningococcal diseases, invasive �, All groups previous 52 weeks maximum ","Meningococcal diseases, invasive �, All groups cummulative for 2013","Meningococcal diseases, invasive �, All groups cummulative for 2012",Mumps current week,Mumps previous 52 weeks median ,Mumps previous 52 weeks maximum ,Mumps cummulative for 2013,Mumps cummulative for 2012,Pertussis current week,Pertussis previous 52 weeks median ,Pertussis previous 52 weeks maximum ,Pertussis cummulative for 2013,Pertussis cummulative for 2012
30,2013,4,MID. ATLANTIC,0,1,4,2,8,0,0,3,1,0,29,105,183,120,355
31,2013,4,N.J.,0,0,2,0,1,0,0,0,0,0,0,15,40,0,66
32,2013,4,N.Y. (Upstate),0,0,2,1,1,0,0,1,0,0,24,46,109,68,100
33,2013,4,N.Y. City,0,0,2,1,3,0,0,3,0,0,0,7,19,1,75
34,2013,4,Pa.,0,0,2,0,3,0,0,1,1,0,5,33,64,51,114
35,2013,4,E.N. CENTRAL,0,1,4,1,6,0,1,3,1,8,22,174,356,124,704
36,2013,4,Ill.,0,0,3,0,1,0,1,2,1,4,0,36,64,8,182
37,2013,4,Ind.,0,0,1,1,0,0,0,2,0,1,0,8,18,1,17
38,2013,4,Mich.,0,0,2,0,0,0,0,1,0,2,3,11,40,25,52
39,2013,4,Ohio,0,0,2,0,4,0,0,1,0,1,19,17,37,62,62
40,2013,4,Wis.,0,0,2,0,1,0,0,1,0,0,0,93,262,28,391
41,2013,4,W.N. CENTRAL,1,1,4,3,2,0,0,2,0,1,7,120,252,53,222
42,2013,4,Iowa,0,0,1,0,0,0,0,1,0,0,0,32,100,8,25
43,2013,4,Kans.,0,0,1,0,0,0,0,1,0,0,0,15,30,3,32
44,2013,4,Minn.,0,0,3,0,0,0,0,1,0,0,0,49,141,0,93
45,2013,4,Mo.,1,0,3,3,2,0,0,1,0,1,6,14,45,29,67
46,2013,4,Nebr.,0,0,1,0,0,0,0,1,0,0,1,2,19,12,2
47,2013,4,N. Dak.,0,0,1,0,0,0,0,0,0,0,0,0,45,0,0
48,2013,4,S. Dak.,0,0,0,0,0,0,0,0,0,0,0,1,6,1,3
49,2013,4,S. ATLANTIC,5,1,5,13,5,0,0,3,1,2,13,55,105,65,97
50,2013,4,Del.,0,0,1,0,0,0,0,0,0,0,1,1,4,2,4
51,2013,4,D.C.,0,0,1,0,0,0,0,2,0,0,0,0,4,0,1
52,2013,4,Fla.,3,1,3,7,3,0,0,1,0,1,9,10,26,20,26
53,2013,4,Ga.,0,0,2,0,0,0,0,2,0,0,0,4,15,8,4
54,2013,4,Md.,0,0,1,0,2,0,0,1,1,0,3,6,18,13,23
55,2013,4,N.C.,1,0,2,4,0,0,0,1,0,0,0,7,75,6,5
56,2013,4,S.C.,0,0,1,0,0,0,0,1,0,0,0,4,14,13,4
57,2013,4,Va.,0,0,2,1,0,0,0,1,0,1,0,11,25,2,22
58,2013,4,W. Va.,1,0,2,1,0,0,0,1,0,0,0,1,12,1,8
59,2013,4,E.S. CENTRAL,0,0,2,3,0,0,0,2,1,0,10,24,48,56,58
60,2013,4,Ala.,0,0,1,0,0,0,0,1,1,0,2,4,11,10,4
61,2013,4,Ky.,0,0,1,1,0,0,0,1,0,0,3,11,35,26,31
62,2013,4,Miss.,0,0,1,2,0,0,0,1,0,0,0,1,4,0,6
63,2013,4,Tenn.,0,0,1,0,0,0,0,1,0,0,5,5,14,20,17
64,2013,4,W.S. CENTRAL,0,1,4,0,0,0,0,2,0,1,11,47,175,18,26
65,2013,4,Ark.,0,0,1,0,0,0,0,1,0,0,0,2,22,1,2
66,2013,4,La.,0,0,0,0,0,0,0,1,0,0,0,1,7,0,2
67,2013,4,Okla.,0,0,2,0,0,0,0,1,0,0,1,0,34,1,0
68,2013,4,Tex.,0,0,4,0,0,0,0,2,0,1,10,40,158,16,22
69,2013,4,MOUNTAIN,0,1,3,2,3,0,0,2,0,2,25,117,167,158,249
70,2013,4,Ariz.,0,0,2,0,1,0,0,2,0,0,15,15,33,50,72
71,2013,4,Colo.,0,0,2,1,1,0,0,2,0,1,4,29,66,47,52
72,2013,4,Idaho,0,0,1,0,0,0,0,0,0,0,1,4,14,10,10
73,2013,4,Mont.,0,0,1,0,1,0,0,1,0,1,4,8,48,28,8
74,2013,4,Nev.,0,0,1,0,0,0,0,0,0,0,1,1,6,6,4
75,2013,4,N. Mex.,0,0,1,0,0,0,0,0,0,0,0,15,31,14,22
76,2013,4,Utah,0,0,1,0,0,0,0,1,0,0,0,30,52,3,78
77,2013,4,Wyo.,0,0,1,1,0,0,0,1,0,0,0,1,5,0,3
78,2013,4,PACIFIC,1,2,9,13,25,0,0,2,0,6,17,126,301,73,142
79,2013,4,Alaska,0,0,1,0,0,0,0,1,0,0,8,5,24,47,7
