,year,mmwr_week,Reporting Area,Lyme disease current week,Lyme disease previous 52 weeks median ,Lyme disease previous 52 weeks maximum ,Lyme disease cummulative for 2007,Lyme disease cummulative for 2006,Malaria current week,Malaria previous 52 weeks median ,Malaria previous 52 weeks maximum ,Malaria cummulative for 2007,Malaria cummulative for 2006,"Meningococcal diseases, invasive �, all serogroups current week","Meningococcal diseases, invasive �, all serogroups previous 52 weeks median ","Meningococcal diseases, invasive �, all serogroups previous 52 weeks maximum ","Meningococcal diseases, invasive �, all serogroups cummulative for 2007","Meningococcal diseases, invasive �, all serogroups cummulative for 2006"
88,2007,3,V.I.,U,0,0,U,U,U,0,0,U,U,U,0,0,0,0
22,2007,4,UNITED STATES,36,242,"1,003",291,303,8,23,39,35,90,11,20,45,52,101
23,2007,4,NEW ENGLAND,3,19,260,14,16,0,0,6,0,3,1,1,3,2,5
24,2007,4,Conn.,1,8,227,5,1,0,0,3,0,0,0,0,2,1,2
25,2007,4,Maine,0,2,34,5,3,0,0,1,0,0,0,0,2,1,2
26,2007,4,Mass.,0,0,3,0,8,0,0,3,0,2,0,0,2,0,1
27,2007,4,N.H.,1,3,95,2,3,0,0,3,0,0,1,0,2,0,0
28,2007,4,R.I.,0,0,93,0,1,0,0,1,0,0,0,0,1,0,0
29,2007,4,Vt.,1,1,15,2,0,0,0,1,0,1,0,0,1,0,0
30,2007,4,MID. ATLANTIC,11,142,558,174,185,0,5,14,5,21,1,3,11,7,21
31,2007,4,N.J.,0,27,185,3,67,0,0,3,0,7,0,0,2,0,2
32,2007,4,N.Y. (Upstate),7,59,250,33,12,0,1,8,3,1,1,0,4,1,2
33,2007,4,N.Y. City,0,1,18,0,0,0,3,9,2,9,0,1,4,2,9
34,2007,4,Pa.,4,43,233,138,106,0,1,4,0,4,0,0,4,4,8
35,2007,4,E.N. CENTRAL,0,11,153,1,24,1,2,7,5,12,1,2,12,6,12
36,2007,4,Ill.,0,0,0,0,0,0,1,5,2,6,0,0,3,0,6
37,2007,4,Ind.,0,0,3,0,0,0,0,3,0,0,1,0,5,1,0
38,2007,4,Mich.,0,0,5,1,2,1,0,2,1,1,0,0,3,2,2
39,2007,4,Ohio,0,0,5,0,2,0,0,3,2,2,0,1,4,3,2
40,2007,4,Wis.,0,10,149,0,20,0,0,2,0,3,0,0,2,0,2
41,2007,4,W.N. CENTRAL,0,5,169,0,0,0,0,14,3,4,1,1,4,6,4
42,2007,4,Iowa,0,1,8,0,0,0,0,1,1,0,0,0,2,1,0
43,2007,4,Kans.,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0
44,2007,4,Minn.,0,2,167,0,0,0,0,12,1,2,0,0,3,0,0
45,2007,4,Mo.,0,0,2,0,0,0,0,1,0,1,0,0,2,4,1
46,2007,4,Nebr.,0,0,2,0,0,0,0,1,1,0,0,0,1,0,3
47,2007,4,N. Dak.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
48,2007,4,S. Dak.,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0
49,2007,4,S. ATLANTIC,19,34,124,94,73,7,6,14,18,25,2,4,14,13,9
50,2007,4,Del.,3,7,28,23,23,0,0,1,0,0,0,0,1,0,1
51,2007,4,D.C.,0,0,7,0,2,0,0,2,0,0,0,0,1,0,0
52,2007,4,Fla.,1,1,5,4,1,3,1,4,6,3,2,2,7,7,2
53,2007,4,Ga.,0,0,1,0,1,1,1,6,3,8,0,0,3,2,1
54,2007,4,Md.,14,16,81,63,41,1,1,5,5,6,0,0,2,2,3
55,2007,4,N.C.,0,0,4,0,5,1,0,4,2,3,0,0,11,0,0
56,2007,4,S.C.,0,0,2,0,0,0,0,2,0,0,0,0,2,2,0
57,2007,4,Va.,1,4,31,4,0,1,1,4,2,5,0,0,4,0,2
